"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.145","3.573","3.592","3.145","-12.30%"
"11/01/2023","3.586","4.090","4.111","3.538","-12.24%"
"10/01/2023","4.086","4.001","4.121","3.924","5.09%"
"09/01/2023","3.888","3.695","3.957","3.676","4.88%"
"08/01/2023","3.707","3.646","3.822","3.625","0.73%"
"07/01/2023","3.680","3.673","3.792","3.542","0.16%"
"06/01/2023","3.674","3.440","3.695","3.427","6.15%"
"05/01/2023","3.461","3.345","3.588","3.196","5.23%"
"04/01/2023","3.289","3.294","3.396","3.168","0.77%"
"03/01/2023","3.264","3.823","3.918","3.116","-13.99%"
"02/01/2023","3.795","3.319","3.800","3.100","13.83%"
"01/01/2023","3.334","3.772","3.799","3.231","-10.50%"
"12/01/2022","3.725","3.630","3.754","3.526","1.61%"
"11/01/2022","3.666","4.196","4.206","3.615","-12.49%"
"10/01/2022","4.189","4.136","4.500","4.019","-0.59%"
"09/01/2022","4.214","3.751","4.507","3.543","14.23%"
"08/01/2022","3.689","3.056","3.732","2.992","22.56%"
"07/01/2022","3.010","3.501","3.501","2.970","-15.19%"
"06/01/2022","3.549","3.063","3.795","3.050","17.36%"
"05/01/2022","3.024","3.041","3.217","2.865","2.23%"
"04/01/2022","2.958","2.680","3.221","2.669","11.04%"
"03/01/2022","2.664","2.190","2.803","2.177","18.82%"
"02/01/2022","2.242","2.150","2.385","2.148","2.47%"
"01/01/2022","2.188","1.814","2.235","1.814","21.89%"
