"Date","Price","Open","High","Low","Change %"
"12/01/2023","4.003","4.431","4.520","3.977","-10.11%"
"11/01/2023","4.453","4.920","4.926","4.368","-9.54%"
"10/01/2023","4.923","4.851","5.101","4.707","2.40%"
"09/01/2023","4.808","4.560","4.934","4.454","5.57%"
"08/01/2023","4.554","4.528","4.774","4.361","0.58%"
"07/01/2023","4.528","4.547","5.046","4.222","-0.11%"
"06/01/2023","4.533","4.038","4.559","3.956","11.87%"
"05/01/2023","4.052","3.761","4.306","3.379","8.73%"
"04/01/2023","3.727","3.858","3.996","3.452","-1.90%"
"03/01/2023","3.799","4.547","4.761","3.389","-16.12%"
"02/01/2023","4.529","3.908","4.578","3.697","16.14%"
"01/01/2023","3.900","4.238","4.277","3.680","-7.74%"
"12/01/2022","4.227","4.061","4.250","3.858","3.96%"
"11/01/2022","4.066","4.446","4.733","4.049","-8.43%"
"10/01/2022","4.440","4.262","4.682","3.996","3.62%"
"09/01/2022","4.285","3.520","4.423","3.409","21.82%"
"08/01/2022","3.518","2.839","3.520","2.733","25.14%"
"07/01/2022","2.811","3.033","3.276","2.756","-6.64%"
"06/01/2022","3.011","2.741","3.618","2.730","10.39%"
"05/01/2022","2.728","2.911","3.018","2.582","-5.76%"
"04/01/2022","2.894","2.520","2.976","2.486","15.10%"
"03/01/2022","2.515","1.646","2.664","1.430","55.03%"
"02/01/2022","1.622","1.388","1.866","1.334","17.11%"
"01/01/2022","1.385","1.000","1.461","0.987","44.35%"
