"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.191","3.453","3.453","2.988","-8.15%"
"11/01/2023","3.474","3.680","3.715","3.449","-5.44%"
"10/01/2023","3.674","3.705","3.791","3.624","-0.24%"
"09/01/2023","3.683","3.544","3.813","3.440","4.16%"
"08/01/2023","3.536","3.648","3.702","3.495","-2.64%"
"07/01/2023","3.632","3.607","3.785","3.533","0.58%"
"06/01/2023","3.611","3.214","3.686","3.176","14.20%"
"05/01/2023","3.162","3.129","3.270","2.968","1.48%"
"04/01/2023","3.116","3.013","3.365","2.910","3.76%"
"03/01/2023","3.003","3.211","3.470","2.473","-5.71%"
"02/01/2023","3.185","2.767","3.667","2.605","15.52%"
"01/01/2023","2.757","2.641","2.828","2.030","4.71%"
"12/01/2022","2.633","2.216","2.639","2.110","20.06%"
"11/01/2022","2.193","2.074","2.375","1.987","7.18%"
"10/01/2022","2.046","1.681","2.199","1.480","21.86%"
"09/01/2022","1.679","0.764","1.870","0.567","137.15%"
"08/01/2022","0.708","0.390","0.773","0.323","87.80%"
"07/01/2022","0.377","0.412","0.647","0.212","-15.28%"
"06/01/2022","0.445","0.035","0.698","0.035","888.89%"
"05/01/2022","0.045","-0.217","0.045","-0.294","-120.45%"
"04/01/2022","-0.220","-0.435","-0.220","-0.455","-49.43%"
"03/01/2022","-0.435","-0.645","-0.400","-0.705","-32.03%"
"02/01/2022","-0.640","-0.672","-0.546","-0.686","-3.36%"
"01/01/2022","-0.662","-0.612","-0.566","-0.669","8.56%"
