"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.299","2.720","2.739","2.251","-15.23%"
"11/01/2023","2.712","2.944","3.028","2.656","-7.25%"
"10/01/2023","2.924","3.063","3.134","2.887","-4.14%"
"09/01/2023","3.050","2.862","3.155","2.769","8.01%"
"08/01/2023","2.824","2.878","3.030","2.743","-2.14%"
"07/01/2023","2.886","2.973","3.119","2.790","-2.56%"
"06/01/2023","2.962","2.534","2.993","2.481","18.06%"
"05/01/2023","2.509","2.621","2.771","2.301","-0.51%"
"04/01/2023","2.521","2.515","2.780","2.265","0.95%"
"03/01/2023","2.498","2.992","3.149","1.959","-14.42%"
"02/01/2023","2.918","2.571","2.985","2.230","14.00%"
"01/01/2023","2.560","2.606","2.606","2.313","-0.90%"
"12/01/2022","2.583","1.985","2.588","1.835","27.81%"
"11/01/2022","2.021","1.862","2.201","1.790","5.08%"
"10/01/2022","1.923","1.734","2.220","1.407","10.32%"
"09/01/2022","1.743","1.186","1.989","0.894","48.89%"
"08/01/2022","1.171","0.258","1.215","0.142","321.79%"
"07/01/2022","0.278","0.735","0.841","0.207","-63.62%"
"06/01/2022","0.763","0.577","1.430","0.553","35.00%"
"05/01/2022","0.565","0.427","0.610","0.207","31.17%"
"04/01/2022","0.431","0.127","0.471","0.033","308.05%"
"03/01/2022","0.106","-0.475","0.255","-0.685","-125.77%"
"02/01/2022","-0.410","-0.545","-0.216","-0.572","-24.27%"
"01/01/2022","-0.541","-0.645","-0.535","-0.687","-16.66%"
