"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.175","3.685","3.716","3.175","-14.21%"
"11/01/2023","3.701","4.335","4.358","3.623","-14.43%"
"10/01/2023","4.325","4.215","4.399","4.070","7.29%"
"09/01/2023","4.031","3.791","4.083","3.761","5.47%"
"08/01/2023","3.822","3.734","4.013","3.713","1.70%"
"07/01/2023","3.758","3.676","3.856","3.566","1.65%"
"06/01/2023","3.697","3.539","3.738","3.495","4.67%"
"05/01/2023","3.532","3.396","3.681","3.243","5.28%"
"04/01/2023","3.355","3.350","3.457","3.200","0.66%"
"03/01/2023","3.333","3.760","3.895","3.161","-11.14%"
"02/01/2023","3.751","3.273","3.773","3.128","13.05%"
"01/01/2023","3.318","3.794","3.831","3.190","-11.16%"
"12/01/2022","3.735","3.619","3.761","3.352","2.22%"
"11/01/2022","3.654","4.243","4.276","3.594","-14.12%"
"10/01/2022","4.255","4.044","4.665","3.934","3.55%"
"09/01/2022","4.109","3.777","4.426","3.622","9.66%"
"08/01/2022","3.747","3.174","3.801","3.065","19.83%"
"07/01/2022","3.127","3.582","3.582","3.064","-14.02%"
"06/01/2022","3.637","3.369","3.847","3.350","9.42%"
"05/01/2022","3.324","3.315","3.503","3.128","2.43%"
"04/01/2022","3.245","2.960","3.413","2.933","9.30%"
"03/01/2022","2.969","2.623","3.086","2.600","10.99%"
"02/01/2022","2.675","2.551","2.779","2.550","3.44%"
"01/01/2022","2.586","2.282","2.639","2.274","14.68%"
