"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.786","3.137","3.137","2.589","-10.65%"
"11/01/2023","3.118","3.541","3.549","3.066","-11.19%"
"10/01/2023","3.511","3.629","3.777","3.411","-2.28%"
"09/01/2023","3.593","3.228","3.755","3.167","11.97%"
"08/01/2023","3.209","3.224","3.463","3.171","-0.40%"
"07/01/2023","3.222","3.130","3.424","3.016","2.84%"
"06/01/2023","3.133","3.059","3.245","2.980","3.81%"
"05/01/2023","3.018","3.245","3.333","2.985","-4.34%"
"04/01/2023","3.155","3.168","3.393","2.997","-0.09%"
"03/01/2023","3.158","3.601","3.661","2.922","-10.16%"
"02/01/2023","3.515","3.201","3.600","2.894","9.95%"
"01/01/2023","3.197","3.575","3.582","2.841","-11.17%"
"12/01/2022","3.599","2.816","3.601","2.672","23.93%"
"11/01/2022","2.904","3.135","3.358","2.726","-8.25%"
"10/01/2022","3.165","3.225","3.581","2.830","-0.57%"
"09/01/2022","3.183","2.711","3.449","2.580","20.43%"
"08/01/2022","2.643","1.890","2.693","1.711","42.33%"
"07/01/2022","1.857","2.458","2.549","1.852","-24.42%"
"06/01/2022","2.457","2.282","3.108","2.259","7.91%"
"05/01/2022","2.277","2.050","2.347","1.953","12.06%"
"04/01/2022","2.032","1.392","2.042","1.341","48.21%"
"03/01/2022","1.371","0.986","1.498","0.734","32.85%"
"02/01/2022","1.032","0.676","1.231","0.642","53.57%"
"01/01/2022","0.672","0.463","0.689","0.456","38.56%"
