"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.378","3.459","3.829","3.142","-2.51%"
"11/01/2023","3.465","3.615","3.951","3.438","-4.41%"
"10/01/2023","3.625","3.556","3.848","3.498","1.94%"
"09/01/2023","3.556","3.738","3.913","3.429","-2.84%"
"08/01/2023","3.660","3.545","3.799","3.414","2.98%"
"07/01/2023","3.554","2.740","3.755","2.644","32.02%"
"06/01/2023","2.692","2.535","2.697","2.285","7.29%"
"05/01/2023","2.509","2.745","2.896","2.499","-6.87%"
"04/01/2023","2.694","2.828","3.000","2.637","-4.74%"
"03/01/2023","2.828","3.255","3.421","0.000","-8.98%"
"02/01/2023","3.107","2.823","3.276","2.772","10.53%"
"01/01/2023","2.811","2.549","2.889","2.410","11.02%"
"12/01/2022","2.532","2.118","2.544","2.057","19.43%"
"11/01/2022","2.120","2.213","2.345","1.988","-3.68%"
"10/01/2022","2.201","1.976","2.289","1.857","9.78%"
"09/01/2022","2.005","0.993","2.289","0.882","135.33%"
"08/01/2022","0.852","0.058","0.918","-0.049","806.38%"
"07/01/2022","0.094","0.432","0.606","0.039","-77.62%"
"06/01/2022","0.420","0.241","0.835","0.221","85.02%"
"05/01/2022","0.227","-0.027","0.294","-0.080","-653.66%"
"04/01/2022","-0.041","-0.358","-0.012","-0.409","-89.43%"
"03/01/2022","-0.388","-0.537","-0.295","-0.568","-29.84%"
"02/01/2022","-0.553","-0.555","-0.328","-0.573","0.00%"
"01/01/2022","-0.553","-0.711","-0.369","-0.759","-25.57%"
