"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.0280","2.4590","2.4610","1.8960","-17.19%"
"11/01/2023","2.4490","2.8410","2.8530","2.3940","-12.82%"
"10/01/2023","2.8090","2.8560","3.0240","2.6870","-1.02%"
"09/01/2023","2.8380","2.4760","2.9800","2.4460","14.85%"
"08/01/2023","2.4710","2.4560","2.7290","2.4120","0.24%"
"07/01/2023","2.4650","2.4010","2.6790","2.2850","3.09%"
"06/01/2023","2.3910","2.2890","2.5480","2.2400","5.24%"
"05/01/2023","2.2720","2.4100","2.5560","2.1740","-2.15%"
"04/01/2023","2.3220","2.3160","2.5400","2.1220","0.91%"
"03/01/2023","2.3010","2.6880","2.7700","1.9230","-12.94%"
"02/01/2023","2.6430","2.2710","2.7100","2.0420","15.92%"
"01/01/2023","2.2800","2.5500","2.5690","1.9670","-11.04%"
"12/01/2022","2.5630","1.8630","2.5690","1.7530","31.84%"
"11/01/2022","1.9440","2.1080","2.3780","1.8020","-9.58%"
"10/01/2022","2.1500","2.1140","2.5320","1.7690","1.94%"
"09/01/2022","2.1090","1.5400","2.3520","1.4740","37.30%"
"08/01/2022","1.5360","0.8180","1.5840","0.6780","86.18%"
"07/01/2022","0.8250","1.3410","1.4100","0.7970","-39.69%"
"06/01/2022","1.3680","1.1190","1.9260","1.1050","21.38%"
"05/01/2022","1.1270","0.9420","1.1890","0.8460","20.53%"
"04/01/2022","0.9350","0.5800","0.9740","0.4730","70.93%"
"03/01/2022","0.5470","0.1320","0.7410","-0.1090","244.03%"
"02/01/2022","0.1590","0.0110","0.3310","-0.0150","1,035.71%"
"01/01/2022","0.0140","-0.1770","0.0320","-0.1850","-107.82%"
