"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.460","2.908","2.908","2.302","-14.35%"
"11/01/2023","2.872","3.245","3.264","2.826","-10.95%"
"10/01/2023","3.225","3.363","3.467","3.187","-3.53%"
"09/01/2023","3.343","3.046","3.490","2.995","10.18%"
"08/01/2023","3.034","3.064","3.309","2.995","-0.85%"
"07/01/2023","3.060","2.987","3.234","2.839","2.34%"
"06/01/2023","2.990","2.782","3.035","2.694","9.12%"
"05/01/2023","2.740","2.974","3.052","2.699","-4.83%"
"04/01/2023","2.879","2.907","3.108","2.730","-0.55%"
"03/01/2023","2.895","3.405","3.465","2.609","-12.80%"
"02/01/2023","3.320","2.859","3.388","2.561","16.74%"
"01/01/2023","2.844","3.134","3.136","2.521","-9.83%"
"12/01/2022","3.154","2.416","3.156","2.286","25.61%"
"11/01/2022","2.511","2.671","2.912","2.368","-6.83%"
"10/01/2022","2.695","2.769","3.095","2.377","-1.10%"
"09/01/2022","2.725","2.193","2.976","2.034","27.52%"
"08/01/2022","2.137","1.295","2.169","1.130","66.69%"
"07/01/2022","1.282","1.901","2.024","1.272","-32.60%"
"06/01/2022","1.902","1.746","2.630","1.720","9.44%"
"05/01/2022","1.738","1.585","1.859","1.445","10.91%"
"04/01/2022","1.567","0.972","1.572","0.921","65.64%"
"03/01/2022","0.946","0.566","1.058","0.316","53.32%"
"02/01/2022","0.617","0.238","0.773","0.212","162.55%"
"01/01/2022","0.235","0.066","0.239","0.050","201.28%"
