"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.357","3.560","3.560","3.350","-5.78%"
"11/01/2023","3.563","3.810","3.836","3.563","-6.48%"
"10/01/2023","3.810","3.860","3.860","3.703","6.57%"
"09/01/2023","3.575","3.480","3.600","3.480","1.91%"
"08/01/2023","3.508","3.480","3.545","3.460","0.09%"
"07/01/2023","3.505","3.560","3.675","3.490","-2.09%"
"06/01/2023","3.580","3.535","3.585","3.450","1.27%"
"05/01/2023","3.535","3.365","3.600","3.330","8.50%"
"04/01/2023","3.258","3.255","3.260","3.152","-1.27%"
"03/01/2023","3.300","3.730","3.730","3.245","-10.57%"
"02/01/2023","3.690","3.451","3.690","3.390","6.93%"
"01/01/2023","3.451","3.737","3.740","3.451","-7.63%"
"12/01/2022","3.736","3.660","3.775","3.613","0.95%"
"11/01/2022","3.701","3.805","3.960","3.655","1.65%"
"10/01/2022","3.641","3.370","3.642","3.352","8.49%"
"09/01/2022","3.356","3.285","3.580","3.130","2.94%"
"08/01/2022","3.260","2.910","3.271","2.847","12.41%"
"07/01/2022","2.900","2.965","3.008","2.900","-3.53%"
"06/01/2022","3.006","2.277","3.020","2.276","33.42%"
"05/01/2022","2.253","2.255","2.312","2.160","1.44%"
"04/01/2022","2.221","1.930","2.435","1.930","32.60%"
"03/01/2022","1.675","1.496","1.680","1.375","11.97%"
"02/01/2022","1.496","1.445","1.510","1.445","2.61%"
"01/01/2022","1.458","1.323","1.460","1.323","7.92%"
