"Date","Price","Open","High","Low","Change %"
"12/01/2023","4.770","5.136","5.184","4.770","-7.23%"
"11/01/2023","5.142","5.458","5.480","5.109","-5.84%"
"10/01/2023","5.461","5.492","5.557","5.350","-0.16%"
"09/01/2023","5.470","5.395","5.554","5.338","1.54%"
"08/01/2023","5.387","5.413","5.554","5.320","-0.09%"
"07/01/2023","5.392","5.449","5.981","5.270","-0.35%"
"06/01/2023","5.411","5.222","5.466","5.122","4.06%"
"05/01/2023","5.200","4.836","5.327","4.584","8.02%"
"04/01/2023","4.814","4.702","5.005","4.373","4.11%"
"03/01/2023","4.624","5.040","5.202","4.025","-7.70%"
"02/01/2023","5.010","4.711","5.070","4.631","6.91%"
"01/01/2023","4.686","4.765","4.732","4.644","-0.99%"
"12/01/2022","4.733","4.784","4.727","4.580","0.02%"
"11/01/2022","4.732","4.674","4.763","4.551","2.05%"
"10/01/2022","4.637","4.000","4.785","3.905","16.01%"
"09/01/2022","3.997","3.536","4.109","3.431","14.76%"
"08/01/2022","3.483","2.977","3.456","2.932","17.11%"
"07/01/2022","2.974","2.774","3.220","2.679","6.59%"
"06/01/2022","2.790","2.079","2.917","2.068","35.90%"
"05/01/2022","2.053","2.069","2.137","1.893","-0.24%"
"04/01/2022","2.058","1.637","2.025","1.618","27.99%"
"03/01/2022","1.608","1.047","1.647","0.865","59.05%"
"02/01/2022","1.011","0.795","1.117","0.726","31.81%"
"01/01/2022","0.767","0.397","0.811","0.376","99.74%"
