"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.400","2.820","2.828","2.354","-14.71%"
"11/01/2023","2.814","3.094","3.193","2.761","-8.46%"
"10/01/2023","3.074","3.213","3.277","3.031","-4.12%"
"09/01/2023","3.206","2.970","3.331","2.926","7.55%"
"08/01/2023","2.981","3.226","3.231","2.920","-7.02%"
"07/01/2023","3.206","3.274","3.393","3.097","-1.87%"
"06/01/2023","3.267","2.752","3.295","2.720","19.28%"
"05/01/2023","2.739","2.796","2.991","2.520","0.37%"
"04/01/2023","2.729","2.710","2.988","2.466","1.26%"
"03/01/2023","2.695","3.181","3.385","2.089","-13.95%"
"02/01/2023","3.132","2.630","3.191","2.452","18.23%"
"01/01/2023","2.649","2.755","2.756","2.426","-3.00%"
"12/01/2022","2.731","2.071","2.736","1.958","27.68%"
"11/01/2022","2.139","1.919","2.252","1.835","9.75%"
"10/01/2022","1.949","1.805","2.220","1.444","9.62%"
"09/01/2022","1.778","1.195","2.031","0.958","48.41%"
"08/01/2022","1.198","0.272","1.238","0.152","338.83%"
"07/01/2022","0.273","0.647","0.779","0.205","-59.79%"
"06/01/2022","0.679","0.511","1.309","0.490","33.66%"
"05/01/2022","0.508","0.256","0.527","0.020","96.90%"
"04/01/2022","0.258","-0.043","0.291","-0.117","-468.57%"
"03/01/2022","-0.070","-0.551","0.066","-0.813","-86.19%"
"02/01/2022","-0.507","-0.539","-0.214","-0.561","-5.06%"
"01/01/2022","-0.534","-0.605","-0.527","-0.685","-16.17%"
