"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.459","2.877","2.887","2.389","-14.47%"
"11/01/2023","2.875","3.103","3.250","2.826","-6.60%"
"10/01/2023","3.078","3.228","3.322","3.024","-4.47%"
"09/01/2023","3.222","2.943","3.352","2.901","9.44%"
"08/01/2023","2.944","2.987","3.152","2.870","-1.41%"
"07/01/2023","2.986","3.025","3.157","2.861","-0.73%"
"06/01/2023","3.008","2.721","3.082","2.648","12.28%"
"05/01/2023","2.679","2.866","2.947","2.592","-2.69%"
"04/01/2023","2.753","2.730","2.962","2.495","1.70%"
"03/01/2023","2.707","3.242","3.327","2.312","-14.50%"
"02/01/2023","3.166","2.776","3.213","2.610","14.54%"
"01/01/2023","2.764","2.837","2.889","2.559","-2.85%"
"12/01/2022","2.845","2.163","2.846","2.126","27.46%"
"11/01/2022","2.232","2.065","2.350","2.037","5.58%"
"10/01/2022","2.114","2.151","2.206","1.876","-0.19%"
"09/01/2022","2.118","1.111","2.282","0.928","93.25%"
"08/01/2022","1.096","0.511","1.142","0.402","122.31%"
"07/01/2022","0.493","0.981","1.093","0.485","-50.55%"
"06/01/2022","0.997","0.644","1.599","0.633","59.52%"
"05/01/2022","0.625","0.438","0.626","0.255","50.97%"
"04/01/2022","0.414","0.035","0.430","-0.071","-1,756.00%"
"03/01/2022","-0.025","-0.368","0.044","-0.551","-93.73%"
"02/01/2022","-0.399","-0.521","-0.057","-0.535","-21.61%"
"01/01/2022","-0.509","-0.580","-0.481","-0.666","-13.44%"
