"Date","Price","Open","High","Low","Change %"
"12/01/2023","4.250","4.668","4.775","4.231","-9.47%"
"11/01/2023","4.695","5.083","5.087","4.608","-7.64%"
"10/01/2023","5.083","5.091","5.259","4.926","0.62%"
"09/01/2023","5.052","4.869","5.202","4.760","3.89%"
"08/01/2023","4.863","4.879","5.106","4.718","-0.45%"
"07/01/2023","4.885","4.918","5.120","4.607","-0.39%"
"06/01/2023","4.904","4.394","4.935","4.316","11.23%"
"05/01/2023","4.409","4.050","4.639","3.657","9.65%"
"04/01/2023","4.021","4.104","4.286","3.646","-0.42%"
"03/01/2023","4.038","4.834","5.084","3.555","-16.20%"
"02/01/2023","4.818","4.209","4.857","4.036","14.57%"
"01/01/2023","4.205","4.461","4.519","4.041","-5.03%"
"12/01/2022","4.428","4.325","4.447","4.139","2.29%"
"11/01/2022","4.329","4.491","4.883","4.290","-3.52%"
"10/01/2022","4.486","4.235","4.639","3.996","5.01%"
"09/01/2022","4.273","3.499","4.360","3.387","22.25%"
"08/01/2022","3.495","2.917","3.503","2.819","20.91%"
"07/01/2022","2.891","2.984","3.276","2.729","-2.20%"
"06/01/2022","2.955","2.575","3.456","2.561","15.33%"
"05/01/2022","2.563","2.745","2.858","2.438","-6.16%"
"04/01/2022","2.731","2.343","2.789","2.274","16.98%"
"03/01/2022","2.335","1.456","2.453","1.261","62.54%"
"02/01/2022","1.436","1.185","1.643","1.132","21.25%"
"01/01/2022","1.185","0.766","1.228","0.752","61.37%"
