"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.282","2.700","2.711","2.180","-14.27%"
"11/01/2023","2.662","2.965","3.076","2.634","-10.37%"
"10/01/2023","2.970","3.137","3.215","2.901","-5.23%"
"09/01/2023","3.134","2.859","3.266","2.825","8.63%"
"08/01/2023","2.885","2.933","3.094","2.796","-1.97%"
"07/01/2023","2.943","2.981","3.132","2.761","-1.01%"
"06/01/2023","2.973","2.665","3.058","2.591","13.13%"
"05/01/2023","2.628","2.806","2.918","2.548","-2.52%"
"04/01/2023","2.696","2.716","2.932","2.519","-0.26%"
"03/01/2023","2.703","3.257","3.302","2.347","-13.83%"
"02/01/2023","3.137","2.677","3.238","2.463","17.67%"
"01/01/2023","2.666","2.899","2.903","2.366","-7.97%"
"12/01/2022","2.897","2.084","2.902","2.014","33.50%"
"11/01/2022","2.170","2.086","2.316","2.012","3.48%"
"10/01/2022","2.097","2.189","2.337","1.835","-2.15%"
"09/01/2022","2.143","1.590","2.401","1.338","42.39%"
"08/01/2022","1.505","0.675","1.555","0.548","124.29%"
"07/01/2022","0.671","1.273","1.420","0.645","-45.22%"
"06/01/2022","1.225","1.111","2.056","1.088","12.18%"
"05/01/2022","1.092","0.914","1.102","0.735","22.70%"
"04/01/2022","0.890","0.131","0.907","0.093","647.90%"
"03/01/2022","0.119","-0.300","0.177","-0.462","-152.19%"
"02/01/2022","-0.228","-0.421","0.042","-0.443","-47.22%"
"01/01/2022","-0.432","-0.565","-0.402","-0.575","-5.47%"
