"Date","Price","Open","High","Low","Change %"
"12/01/2023","1.945","2.385","2.386","1.855","-18.21%"
"11/01/2023","2.378","2.677","2.688","2.313","-10.37%"
"10/01/2023","2.653","2.802","2.889","2.615","-4.36%"
"09/01/2023","2.774","2.477","2.926","2.443","11.72%"
"08/01/2023","2.483","2.554","2.756","2.453","-3.01%"
"07/01/2023","2.560","2.594","2.812","2.417","-0.85%"
"06/01/2023","2.582","2.288","2.661","2.232","13.59%"
"05/01/2023","2.273","2.316","2.565","2.114","-1.81%"
"04/01/2023","2.315","2.336","2.593","2.102","-0.39%"
"03/01/2023","2.324","2.740","2.893","1.856","-14.78%"
"02/01/2023","2.727","2.302","2.802","2.060","18.46%"
"01/01/2023","2.302","2.565","2.565","2.010","-10.22%"
"12/01/2022","2.564","1.867","2.574","1.736","31.42%"
"11/01/2022","1.951","1.971","2.266","1.835","-3.03%"
"10/01/2022","2.012","1.955","2.367","1.578","2.65%"
"09/01/2022","1.960","1.407","2.248","1.232","41.93%"
"08/01/2022","1.381","0.528","1.425","0.388","167.12%"
"07/01/2022","0.517","1.063","1.175","0.493","-53.04%"
"06/01/2022","1.101","0.831","1.748","0.817","31.23%"
"05/01/2022","0.839","0.679","0.885","0.502","24.30%"
"04/01/2022","0.675","0.377","0.755","0.305","80.97%"
"03/01/2022","0.373","-0.173","0.550","-0.420","-382.58%"
"02/01/2022","-0.132","-0.278","0.079","-0.303","-51.82%"
"01/01/2022","-0.274","-0.440","-0.265","-0.458","-39.38%"
