"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.840","4.256","4.302","3.785","-10.14%"
"11/01/2023","4.273","4.848","4.855","4.186","-11.83%"
"10/01/2023","4.846","4.655","4.997","4.541","4.99%"
"09/01/2023","4.616","4.258","4.747","4.165","8.64%"
"08/01/2023","4.249","4.179","4.499","4.063","1.54%"
"07/01/2023","4.184","4.170","4.497","3.919","0.65%"
"06/01/2023","4.157","3.748","4.198","3.665","10.63%"
"05/01/2023","3.758","3.521","3.990","3.204","7.43%"
"04/01/2023","3.498","3.637","3.756","3.266","-2.38%"
"03/01/2023","3.584","4.201","4.375","3.239","-14.38%"
"02/01/2023","4.185","3.626","4.247","3.411","15.65%"
"01/01/2023","3.619","3.964","3.978","3.386","-9.54%"
"12/01/2022","4.000","3.749","4.035","3.556","6.61%"
"11/01/2022","3.752","4.237","4.455","3.738","-11.30%"
"10/01/2022","4.230","4.066","4.506","3.768","3.51%"
"09/01/2022","4.087","3.354","4.251","3.269","21.89%"
"08/01/2022","3.353","2.703","3.358","2.579","25.05%"
"07/01/2022","2.681","3.053","3.212","2.653","-11.89%"
"06/01/2022","3.043","2.839","3.623","2.819","7.88%"
"05/01/2022","2.821","2.967","3.109","2.667","-4.76%"
"04/01/2022","2.962","2.473","3.049","2.472","20.16%"
"03/01/2022","2.465","1.737","2.673","1.523","43.90%"
"02/01/2022","1.713","1.619","1.984","1.570","6.10%"
"01/01/2022","1.614","1.321","1.701","1.291","27.82%"
