"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.866","4.321","4.349","3.783","-10.72%"
"11/01/2023","4.330","4.926","4.935","4.247","-12.10%"
"10/01/2023","4.926","4.614","5.021","4.530","7.58%"
"09/01/2023","4.579","4.114","4.688","4.060","11.52%"
"08/01/2023","4.106","3.965","4.366","3.949","3.51%"
"07/01/2023","3.967","3.845","4.094","3.727","3.29%"
"06/01/2023","3.841","3.639","3.892","3.570","5.33%"
"05/01/2023","3.646","3.450","3.859","3.296","6.21%"
"04/01/2023","3.433","3.524","3.639","3.253","-1.15%"
"03/01/2023","3.473","3.938","4.091","3.285","-11.57%"
"02/01/2023","3.928","3.516","3.983","3.333","11.89%"
"01/01/2023","3.510","3.848","3.848","3.321","-9.49%"
"12/01/2022","3.879","3.620","3.905","3.402","7.41%"
"11/01/2022","3.611","4.058","4.243","3.600","-10.84%"
"10/01/2022","4.050","3.813","4.338","3.562","5.78%"
"09/01/2022","3.829","3.198","4.019","3.174","19.78%"
"08/01/2022","3.196","2.669","3.198","2.516","20.27%"
"07/01/2022","2.658","3.024","3.103","2.618","-11.90%"
"06/01/2022","3.017","2.864","3.498","2.833","5.86%"
"05/01/2022","2.849","2.932","3.203","2.706","-3.00%"
"04/01/2022","2.938","2.352","2.981","2.352","25.26%"
"03/01/2022","2.345","1.840","2.557","1.668","28.74%"
"02/01/2022","1.822","1.787","2.065","1.739","2.12%"
"01/01/2022","1.784","1.531","1.902","1.529","17.99%"
